AGNO,COD_COM_RBD,COD_DEPE2,RURAL_RBD,COD_ENSE,COD_GRADO,MRUN,GEN_ALU,EDAD_ALU,COD_COM_ALU,PROM_GRAL,ASISTENCIA,SIT_FIN_R,PROM_GRAL_ANTERIOR,ASISTENCIA_ANTERIOR,EE_GRATUITO,PRIORITARIO_ALU,PREFERENTE_ALU,BEN_SEP,DESERTAR
2020,5801,2,0,310,3,23713587,1,16.0,5801,6.9,100,P,,,1,0,1,1,0
2023,9108,1,0,410,3,17632529,1,19.0,9108,5.6,98,P,,,1,1,0,1,0
2024,13601,2,0,310,3,17971765,1,16.0,13605,6.3,89,P,,,0,1,0,1,0
2020,13126,4,0,510,3,21627608,1,16.0,13124,6.8,100,P,,,1,0,1,0,0
2018,4201,2,0,610,4,9533809,2,17.0,4201,5.2,78,P,4.9,82.0,1,1,0,1,0
2018,9119,2,0,410,4,11343320,2,17.0,9119,5.7,96,P,,,1,1,0,1,0
2020,13301,2,0,310,4,4270394,1,17.0,13301,6.7,95,P,5.4,95.0,1,0,1,1,0
2020,13101,1,0,310,4,15906649,1,17.0,13116,6.6,85,P,6.0,77.0,1,1,0,1,0
2018,13120,2,0,410,4,4382081,1,17.0,13118,5.1,89,P,5.1,93.0,0,1,0,1,0
2020,5109,2,0,310,3,9158178,2,16.0,5109,5.8,85,P,,,1,0,1,1,0
2019,6304,1,0,310,4,11441488,2,18.0,6304,5.9,91,P,5.9,93.0,1,1,0,1,0
2022,2101,2,0,510,3,21252563,1,16.0,2101,6.5,93,P,,,0,0,1,0,0
2017,5804,2,0,310,3,23838987,1,17.0,5804,5.6,87,P,,,0,1,0,0,0
2020,16301,2,0,310,4,18354530,2,17.0,13106,6.5,100,P,5.6,97.0,1,0,1,1,0
2017,7101,1,0,410,4,6587098,2,17.0,7105,6.1,89,P,,,1,1,0,1,0
2022,10301,1,0,510,4,13844820,1,20.0,10306,5.4,97,P,5.1,80.0,1,1,0,1,0
2024,6101,1,0,610,3,2146437,1,16.0,6101,5.5,87,P,,,1,0,1,1,0
2019,13125,2,0,410,4,18347974,2,17.0,13125,5.1,86,P,5.4,81.0,0,0,1,0,0
2022,13501,2,0,310,4,17195910,1,18.0,13501,6.0,93,P,5.3,90.0,1,0,1,1,0
2017,4102,1,0,410,3,22528627,1,16.0,4102,5.9,93,P,,,1,1,0,1,0
2017,7101,2,0,410,3,19026713,1,17.0,7101,4.6,91,P,,,0,0,1,0,0
2018,13402,2,0,310,4,18933993,2,18.0,13402,5.8,87,P,5.5,82.0,1,1,0,1,0
2022,9120,2,0,310,4,1634846,2,17.0,13401,6.4,96,P,6.6,95.0,0,1,0,1,0
2023,3101,2,0,310,3,3508936,2,16.0,3101,6.6,100,P,,,0,1,0,1,0
2022,9101,1,0,610,3,14491033,2,16.0,9101,5.2,93,P,,,1,1,0,1,0
2024,13401,2,0,310,3,26462839,1,16.0,13401,5.7,95,P,,,1,0,1,1,0
2023,1107,2,0,610,4,13051003,2,19.0,1107,5.3,100,P,5.5,92.0,1,1,0,1,0
2024,13127,1,0,310,3,26303476,2,18.0,13127,5.5,92,P,,,1,1,0,1,0
2019,13109,2,0,510,3,20314734,2,16.0,13112,6.2,95,P,,,0,1,0,1,0
2019,2101,1,0,510,4,22687398,2,17.0,2101,6.4,90,P,5.9,93.0,1,1,0,1,0
2022,14106,2,0,310,4,2733684,1,18.0,14106,6.1,84,P,5.0,86.0,1,1,0,1,0
2019,8204,1,0,310,3,19194740,2,17.0,8204,6.5,95,P,,,1,1,0,1,0
2024,12101,5,0,410,4,21057312,2,17.0,12101,6.2,92,P,6.2,95.0,1,0,1,1,0
2022,14202,1,0,310,4,5363948,2,20.0,10101,5.4,85,P,5.0,85.0,1,1,0,1,0
2024,13404,2,0,310,3,5073167,1,16.0,13404,6.6,99,P,,,1,1,0,1,0
2020,16106,2,0,310,3,1220396,2,16.0,16201,6.2,85,P,,,1,1,0,1,0
2019,5101,1,0,810,4,13417250,2,17.0,5101,5.0,94,P,5.2,91.0,1,0,1,1,0
2018,13101,2,0,610,4,7154322,2,18.0,13104,6.6,96,P,6.1,93.0,1,1,0,1,0
2024,13101,1,0,310,4,25790009,2,18.0,13126,6.7,93,P,,,1,1,0,1,0
2024,8306,1,0,310,3,22282073,1,16.0,8306,6.5,82,P,,,1,0,1,1,0
2023,5109,2,0,310,4,17856632,2,17.0,5109,6.6,99,P,6.5,90.0,0,0,1,0,0
2020,1101,2,0,310,3,7477408,1,16.0,13119,6.7,100,P,,,0,0,1,0,0
2018,2101,1,0,510,3,14628245,1,16.0,2101,5.1,87,R,,,1,0,1,1,0
2022,13109,2,0,310,4,12839851,2,17.0,13110,5.9,96,P,5.3,98.0,1,1,0,1,0
2023,6117,1,0,310,3,1220403,1,16.0,6113,6.9,97,P,,,1,1,0,1,0
2024,10101,1,0,310,4,16240906,1,18.0,10101,6.0,80,P,6.2,84.0,1,1,0,1,0
2020,13501,2,0,310,3,20218612,2,16.0,13501,5.1,85,P,,,1,0,1,1,0
2020,16101,4,0,510,3,18722689,1,17.0,16108,5.2,93,P,4.6,80.0,1,1,0,0,0
2022,13110,2,0,310,3,11131443,1,17.0,13110,5.7,80,P,,,0,1,0,0,0
